"Segment","Country","Product","Discount Band","Units Sold","Manufacturing Price","Sale Price","Gross Sales","Discounts"," Sales","COGS","Profit","Date","Month Number","Month Name","Year"
"Enterprise","Canada","Montana","None","345"," $ 5 "," $ 125 "," $ 43,125 ","0"," $ 43,125 "," $ 41,400 "," $ 1,725 ","10/1/2013","10","October","2013"
"Midmarket","United States of America","Montana","None","615"," $ 5 "," $ 15 "," $ 9,225 ","0"," $ 9,225 "," $ 6,150 "," $ 3,075 ","12/1/2014","12","December","2014"
"Government","Canada","Paseo","None","292"," $ 10 "," $ 20 "," $ 5,840 ","0"," $ 5,840 "," $ 2,920 "," $ 2,920 ","2/1/2014","2","February","2014"
"Midmarket","Mexico","Paseo","None","974"," $ 10 "," $ 15 "," $ 14,610 ","0"," $ 14,610 "," $ 9,740 "," $ 4,870 ","2/1/2014","2","February","2014"
"Channel Partners","Canada","Paseo","None","2518"," $ 10 "," $ 12 "," $ 30,216 ","0"," $ 30,216 "," $ 7,554 "," $ 22,662 ","6/1/2014","6","June","2014"
"Government","Germany","Paseo","None","1006"," $ 10 "," $ 350 "," $ 352,100 ","0"," $ 352,100 "," $ 261,560 "," $ 90,540 ","6/1/2014","6","June","2014"
"Channel Partners","Germany","Paseo","None","367"," $ 10 "," $ 12 "," $ 4,404 ","0"," $ 4,404 "," $ 1,101 "," $ 3,303 ","7/1/2014","7","July","2014"
"Government","Mexico","Paseo","None","883"," $ 10 "," $ 7 "," $ 6,181 ","0"," $ 6,181 "," $ 4,415 "," $ 1,766 ","8/1/2014","8","August","2014"
"Midmarket","France","Paseo","None","549"," $ 10 "," $ 15 "," $ 8,235 ","0"," $ 8,235 "," $ 5,490 "," $ 2,745 ","9/1/2013","9","September","2013"
"Small Business","Mexico","Paseo","None","788"," $ 10 "," $ 300 "," $ 236,400 ","0"," $ 236,400 "," $ 197,000 "," $ 39,400 ","9/1/2013","9","September","2013"
"Midmarket","Mexico","Paseo","None","2472"," $ 10 "," $ 15 "," $ 37,080 ","0"," $ 37,080 "," $ 24,720 "," $ 12,360 ","9/1/2014","9","September","2014"
"Government","United States of America","Paseo","None","1143"," $ 10 "," $ 7 "," $ 8,001 ","0"," $ 8,001 "," $ 5,715 "," $ 2,286 ","10/1/2014","10","October","2014"
"Government","Canada","Paseo","None","1725"," $ 10 "," $ 350 "," $ 603,750 ","0"," $ 603,750 "," $ 448,500 "," $ 155,250 ","11/1/2013","11","November","2013"
"Channel Partners","United States of America","Paseo","None","912"," $ 10 "," $ 12 "," $ 10,944 ","0"," $ 10,944 "," $ 2,736 "," $ 8,208 ","11/1/2013","11","November","2013"
"Midmarket","Canada","Paseo","None","2152"," $ 10 "," $ 15 "," $ 32,280 ","0"," $ 32,280 "," $ 21,520 "," $ 10,760 ","12/1/2013","12","December","2013"
"Government","Canada","Paseo","None","1817"," $ 10 "," $ 20 "," $ 36,340 ","0"," $ 36,340 "," $ 18,170 "," $ 18,170 ","12/1/2014","12","December","2014"
"Government","Germany","Paseo","None","1513"," $ 10 "," $ 350 "," $ 529,550 ","0"," $ 529,550 "," $ 393,380 "," $ 136,170 ","12/1/2014","12","December","2014"
"Government","Mexico","Velo","None","1493"," $ 120 "," $ 7 "," $ 10,451 ","0"," $ 10,451 "," $ 7,465 "," $ 2,986 ","1/1/2014","1","January","2014"
"Enterprise","France","Velo","None","1804"," $ 120 "," $ 125 "," $ 225,500 ","0"," $ 225,500 "," $ 216,480 "," $ 9,020 ","2/1/2014","2","February","2014"
"Channel Partners","Germany","Velo","None","2161"," $ 120 "," $ 12 "," $ 25,932 ","0"," $ 25,932 "," $ 6,483 "," $ 19,449 ","3/1/2014","3","March","2014"
"Government","Germany","Velo","None","1006"," $ 120 "," $ 350 "," $ 352,100 ","0"," $ 352,100 "," $ 261,560 "," $ 90,540 ","6/1/2014","6","June","2014"
"Channel Partners","Germany","Velo","None","1545"," $ 120 "," $ 12 "," $ 18,540 ","0"," $ 18,540 "," $ 4,635 "," $ 13,905 ","6/1/2014","6","June","2014"
"Enterprise","United States of America","Velo","None","2821"," $ 120 "," $ 125 "," $ 352,625 ","0"," $ 352,625 "," $ 338,520 "," $ 14,105 ","8/1/2014","8","August","2014"
"Enterprise","Canada","Velo","None","345"," $ 120 "," $ 125 "," $ 43,125 ","0"," $ 43,125 "," $ 41,400 "," $ 1,725 ","10/1/2013","10","October","2013"
"Small Business","Canada","VTT","None","2001"," $ 250 "," $ 300 "," $ 600,300 ","0"," $ 600,300 "," $ 500,250 "," $ 100,050 ","2/1/2014","2","February","2014"
"Channel Partners","Germany","VTT","None","2838"," $ 250 "," $ 12 "," $ 34,056 ","0"," $ 34,056 "," $ 8,514 "," $ 25,542 ","4/1/2014","4","April","2014"
"Midmarket","France","VTT","None","2178"," $ 250 "," $ 15 "," $ 32,670 ","0"," $ 32,670 "," $ 21,780 "," $ 10,890 ","6/1/2014","6","June","2014"
"Midmarket","Germany","VTT","None","888"," $ 250 "," $ 15 "," $ 13,320 ","0"," $ 13,320 "," $ 8,880 "," $ 4,440 ","6/1/2014","6","June","2014"
"Government","France","VTT","None","1527"," $ 250 "," $ 350 "," $ 534,450 ","0"," $ 534,450 "," $ 397,020 "," $ 137,430 ","9/1/2013","9","September","2013"
"Small Business","France","VTT","None","2151"," $ 250 "," $ 300 "," $ 645,300 ","0"," $ 645,300 "," $ 537,750 "," $ 107,550 ","9/1/2014","9","September","2014"
"Government","Canada","VTT","None","1817"," $ 250 "," $ 20 "," $ 36,340 ","0"," $ 36,340 "," $ 18,170 "," $ 18,170 ","12/1/2014","12","December","2014"
"Government","France","Amarilla","None","2750"," $ 260 "," $ 350 "," $ 962,500 ","0"," $ 962,500 "," $ 715,000 "," $ 247,500 ","2/1/2014","2","February","2014"
"Channel Partners","United States of America","Amarilla","None","1953"," $ 260 "," $ 12 "," $ 23,436 ","0"," $ 23,436 "," $ 5,859 "," $ 17,577 ","4/1/2014","4","April","2014"
"Enterprise","Germany","Amarilla","None","4220"," $ 260 "," $ 125 "," $ 527,438 ","0"," $ 527,438 "," $ 506,340 "," $ 21,098 ","4/1/2014","4","April","2014"
"Government","France","Amarilla","None","1899"," $ 260 "," $ 20 "," $ 37,980 ","0"," $ 37,980 "," $ 18,990 "," $ 18,990 ","6/1/2014","6","June","2014"
"Government","Germany","Amarilla","None","1686"," $ 260 "," $ 7 "," $ 11,802 ","0"," $ 11,802 "," $ 8,430 "," $ 3,372 ","7/1/2014","7","July","2014"
"Channel Partners","United States of America","Amarilla","None","2141"," $ 260 "," $ 12 "," $ 25,692 ","0"," $ 25,692 "," $ 6,423 "," $ 19,269 ","8/1/2014","8","August","2014"
"Government","United States of America","Amarilla","None","1143"," $ 260 "," $ 7 "," $ 8,001 ","0"," $ 8,001 "," $ 5,715 "," $ 2,286 ","10/1/2014","10","October","2014"
"Midmarket","United States of America","Amarilla","None","615"," $ 260 "," $ 15 "," $ 9,225 ","0"," $ 9,225 "," $ 6,150 "," $ 3,075 ","12/1/2014","12","December","2014"
"Government","France","Paseo","Low","3945"," $ 10 "," $ 7 "," $ 27,615 "," $ 276 "," $ 27,339 "," $ 19,725 "," $ 7,614 ","1/1/2014","1","January","2014"
"Midmarket","France","Paseo","Low","2296"," $ 10 "," $ 15 "," $ 34,440 "," $ 344 "," $ 34,096 "," $ 22,960 "," $ 11,136 ","2/1/2014","2","February","2014"
"Government","France","Paseo","Low","1030"," $ 10 "," $ 7 "," $ 7,210 "," $ 72 "," $ 7,138 "," $ 5,150 "," $ 1,988 ","5/1/2014","5","May","2014"
"Government","France","Velo","Low","639"," $ 120 "," $ 7 "," $ 4,473 "," $ 45 "," $ 4,428 "," $ 3,195 "," $ 1,233 ","11/1/2014","11","November","2014"
"Government","Canada","VTT","Low","1326"," $ 250 "," $ 7 "," $ 9,282 "," $ 93 "," $ 9,189 "," $ 6,630 "," $ 2,559 ","3/1/2014","3","March","2014"
"Channel Partners","United States of America","Carretera","Low","1858"," $ 3 "," $ 12 "," $ 22,296 "," $ 223 "," $ 22,073 "," $ 5,574 "," $ 16,499 ","2/1/2014","2","February","2014"
"Government","Mexico","Carretera","Low","1210"," $ 3 "," $ 350 "," $ 423,500 "," $ 4,235 "," $ 419,265 "," $ 314,600 "," $ 104,665 ","3/1/2014","3","March","2014"
"Government","United States of America","Carretera","Low","2529"," $ 3 "," $ 7 "," $ 17,703 "," $ 177 "," $ 17,526 "," $ 12,645 "," $ 4,881 ","7/1/2014","7","July","2014"
"Channel Partners","Canada","Carretera","Low","1445"," $ 3 "," $ 12 "," $ 17,340 "," $ 173 "," $ 17,167 "," $ 4,335 "," $ 12,832 ","9/1/2014","9","September","2014"
"Enterprise","United States of America","Carretera","Low","330"," $ 3 "," $ 125 "," $ 41,250 "," $ 413 "," $ 40,838 "," $ 39,600 "," $ 1,238 ","9/1/2013","9","September","2013"
"Channel Partners","France","Carretera","Low","2671"," $ 3 "," $ 12 "," $ 32,052 "," $ 321 "," $ 31,731 "," $ 8,013 "," $ 23,718 ","9/1/2014","9","September","2014"
"Channel Partners","Germany","Carretera","Low","766"," $ 3 "," $ 12 "," $ 9,192 "," $ 92 "," $ 9,100 "," $ 2,298 "," $ 6,802 ","10/1/2013","10","October","2013"
"Small Business","Mexico","Carretera","Low","494"," $ 3 "," $ 300 "," $ 148,200 "," $ 1,482 "," $ 146,718 "," $ 123,500 "," $ 23,218 ","10/1/2013","10","October","2013"
"Government","Mexico","Carretera","Low","1397"," $ 3 "," $ 350 "," $ 488,950 "," $ 4,890 "," $ 484,061 "," $ 363,220 "," $ 120,841 ","10/1/2014","10","October","2014"
"Government","France","Carretera","Low","2155"," $ 3 "," $ 350 "," $ 754,250 "," $ 7,543 "," $ 746,708 "," $ 560,300 "," $ 186,408 ","12/1/2014","12","December","2014"
"Midmarket","Mexico","Montana","Low","2214"," $ 5 "," $ 15 "," $ 33,210 "," $ 332 "," $ 32,878 "," $ 22,140 "," $ 10,738 ","3/1/2014","3","March","2014"
"Small Business","United States of America","Montana","Low","2301"," $ 5 "," $ 300 "," $ 690,300 "," $ 6,903 "," $ 683,397 "," $ 575,250 "," $ 108,147 ","4/1/2014","4","April","2014"
"Government","France","Montana","Low","1376"," $ 5 "," $ 20 "," $ 27,510 "," $ 275 "," $ 27,235 "," $ 13,755 "," $ 13,480 ","7/1/2014","7","July","2014"
"Government","Canada","Montana","Low","1830"," $ 5 "," $ 7 "," $ 12,810 "," $ 128 "," $ 12,682 "," $ 9,150 "," $ 3,532 ","8/1/2014","8","August","2014"
"Small Business","United States of America","Montana","Low","2498"," $ 5 "," $ 300 "," $ 749,400 "," $ 7,494 "," $ 741,906 "," $ 624,500 "," $ 117,406 ","9/1/2013","9","September","2013"
"Enterprise","United States of America","Montana","Low","663"," $ 5 "," $ 125 "," $ 82,875 "," $ 829 "," $ 82,046 "," $ 79,560 "," $ 2,486 ","10/1/2013","10","October","2013"
"Midmarket","United States of America","Paseo","Low","1514"," $ 10 "," $ 15 "," $ 22,710 "," $ 227 "," $ 22,483 "," $ 15,140 "," $ 7,343 ","2/1/2014","2","February","2014"
"Government","United States of America","Paseo","Low","4492"," $ 10 "," $ 7 "," $ 31,448 "," $ 314 "," $ 31,133 "," $ 22,463 "," $ 8,671 ","4/1/2014","4","April","2014"
"Enterprise","United States of America","Paseo","Low","727"," $ 10 "," $ 125 "," $ 90,875 "," $ 909 "," $ 89,966 "," $ 87,240 "," $ 2,726 ","6/1/2014","6","June","2014"
"Enterprise","France","Paseo","Low","787"," $ 10 "," $ 125 "," $ 98,375 "," $ 984 "," $ 97,391 "," $ 94,440 "," $ 2,951 ","6/1/2014","6","June","2014"
"Enterprise","Mexico","Paseo","Low","1823"," $ 10 "," $ 125 "," $ 227,875 "," $ 2,279 "," $ 225,596 "," $ 218,760 "," $ 6,836 ","7/1/2014","7","July","2014"
"Midmarket","Germany","Paseo","Low","747"," $ 10 "," $ 15 "," $ 11,205 "," $ 112 "," $ 11,093 "," $ 7,470 "," $ 3,623 ","9/1/2014","9","September","2014"
"Channel Partners","Germany","Paseo","Low","766"," $ 10 "," $ 12 "," $ 9,192 "," $ 92 "," $ 9,100 "," $ 2,298 "," $ 6,802 ","10/1/2013","10","October","2013"
"Small Business","United States of America","Paseo","Low","2905"," $ 10 "," $ 300 "," $ 871,500 "," $ 8,715 "," $ 862,785 "," $ 726,250 "," $ 136,535 ","11/1/2014","11","November","2014"
"Government","France","Paseo","Low","2155"," $ 10 "," $ 350 "," $ 754,250 "," $ 7,543 "," $ 746,708 "," $ 560,300 "," $ 186,408 ","12/1/2014","12","December","2014"
"Government","France","Velo","Low","3864"," $ 120 "," $ 20 "," $ 77,280 "," $ 773 "," $ 76,507 "," $ 38,640 "," $ 37,867 ","4/1/2014","4","April","2014"
"Government","Mexico","Velo","Low","362"," $ 120 "," $ 7 "," $ 2,534 "," $ 25 "," $ 2,509 "," $ 1,810 "," $ 699 ","5/1/2014","5","May","2014"
"Enterprise","Canada","Velo","Low","923"," $ 120 "," $ 125 "," $ 115,375 "," $ 1,154 "," $ 114,221 "," $ 110,760 "," $ 3,461 ","8/1/2014","8","August","2014"
"Enterprise","United States of America","Velo","Low","663"," $ 120 "," $ 125 "," $ 82,875 "," $ 829 "," $ 82,046 "," $ 79,560 "," $ 2,486 ","10/1/2013","10","October","2013"
"Government","Canada","Velo","Low","2092"," $ 120 "," $ 7 "," $ 14,644 "," $ 146 "," $ 14,498 "," $ 10,460 "," $ 4,038 ","11/1/2013","11","November","2013"
"Government","Germany","VTT","Low","263"," $ 250 "," $ 7 "," $ 1,841 "," $ 18 "," $ 1,823 "," $ 1,315 "," $ 508 ","3/1/2014","3","March","2014"
"Government","Canada","VTT","Low","944"," $ 250 "," $ 350 "," $ 330,225 "," $ 3,302 "," $ 326,923 "," $ 245,310 "," $ 81,613 ","4/1/2014","4","April","2014"
"Enterprise","United States of America","VTT","Low","727"," $ 250 "," $ 125 "," $ 90,875 "," $ 909 "," $ 89,966 "," $ 87,240 "," $ 2,726 ","6/1/2014","6","June","2014"
"Enterprise","France","VTT","Low","787"," $ 250 "," $ 125 "," $ 98,375 "," $ 984 "," $ 97,391 "," $ 94,440 "," $ 2,951 ","6/1/2014","6","June","2014"
"Small Business","Germany","VTT","Low","986"," $ 250 "," $ 300 "," $ 295,800 "," $ 2,958 "," $ 292,842 "," $ 246,500 "," $ 46,342 ","9/1/2014","9","September","2014"
"Small Business","Mexico","VTT","Low","494"," $ 250 "," $ 300 "," $ 148,200 "," $ 1,482 "," $ 146,718 "," $ 123,500 "," $ 23,218 ","10/1/2013","10","October","2013"
"Government","Mexico","VTT","Low","1397"," $ 250 "," $ 350 "," $ 488,950 "," $ 4,890 "," $ 484,061 "," $ 363,220 "," $ 120,841 ","10/1/2014","10","October","2014"
"Enterprise","France","VTT","Low","1744"," $ 250 "," $ 125 "," $ 218,000 "," $ 2,180 "," $ 215,820 "," $ 209,280 "," $ 6,540 ","11/1/2014","11","November","2014"
"Channel Partners","United States of America","Amarilla","Low","1989"," $ 260 "," $ 12 "," $ 23,868 "," $ 239 "," $ 23,629 "," $ 5,967 "," $ 17,662 ","9/1/2013","9","September","2013"
"Midmarket","France","Amarilla","Low","321"," $ 260 "," $ 15 "," $ 4,815 "," $ 48 "," $ 4,767 "," $ 3,210 "," $ 1,557 ","11/1/2013","11","November","2013"
"Enterprise","Canada","Carretera","Low","742"," $ 3 "," $ 125 "," $ 92,813 "," $ 1,856 "," $ 90,956 "," $ 89,100 "," $ 1,856 ","4/1/2014","4","April","2014"
"Channel Partners","Canada","Carretera","Low","1295"," $ 3 "," $ 12 "," $ 15,540 "," $ 311 "," $ 15,229 "," $ 3,885 "," $ 11,344 ","10/1/2014","10","October","2014"
"Small Business","Germany","Carretera","Low","214"," $ 3 "," $ 300 "," $ 64,200 "," $ 1,284 "," $ 62,916 "," $ 53,500 "," $ 9,416 ","10/1/2013","10","October","2013"
"Government","France","Carretera","Low","2145"," $ 3 "," $ 7 "," $ 15,015 "," $ 300 "," $ 14,715 "," $ 10,725 "," $ 3,990 ","11/1/2013","11","November","2013"
"Government","Canada","Carretera","Low","2852"," $ 3 "," $ 350 "," $ 998,200 "," $ 19,964 "," $ 978,236 "," $ 741,520 "," $ 236,716 ","12/1/2014","12","December","2014"
"Channel Partners","United States of America","Montana","Low","1142"," $ 5 "," $ 12 "," $ 13,704 "," $ 274 "," $ 13,430 "," $ 3,426 "," $ 10,004 ","6/1/2014","6","June","2014"
"Government","United States of America","Montana","Low","1566"," $ 5 "," $ 20 "," $ 31,320 "," $ 626 "," $ 30,694 "," $ 15,660 "," $ 15,034 ","10/1/2014","10","October","2014"
"Channel Partners","Mexico","Montana","Low","690"," $ 5 "," $ 12 "," $ 8,280 "," $ 166 "," $ 8,114 "," $ 2,070 "," $ 6,044 ","11/1/2014","11","November","2014"
"Enterprise","Mexico","Montana","Low","1660"," $ 5 "," $ 125 "," $ 207,500 "," $ 4,150 "," $ 203,350 "," $ 199,200 "," $ 4,150 ","11/1/2013","11","November","2013"
"Midmarket","Canada","Paseo","Low","2363"," $ 10 "," $ 15 "," $ 35,445 "," $ 709 "," $ 34,736 "," $ 23,630 "," $ 11,106 ","2/1/2014","2","February","2014"
"Small Business","France","Paseo","Low","918"," $ 10 "," $ 300 "," $ 275,400 "," $ 5,508 "," $ 269,892 "," $ 229,500 "," $ 40,392 ","5/1/2014","5","May","2014"
"Small Business","Germany","Paseo","Low","1728"," $ 10 "," $ 300 "," $ 518,400 "," $ 10,368 "," $ 508,032 "," $ 432,000 "," $ 76,032 ","5/1/2014","5","May","2014"
"Channel Partners","United States of America","Paseo","Low","1142"," $ 10 "," $ 12 "," $ 13,704 "," $ 274 "," $ 13,430 "," $ 3,426 "," $ 10,004 ","6/1/2014","6","June","2014"
"Enterprise","Mexico","Paseo","Low","662"," $ 10 "," $ 125 "," $ 82,750 "," $ 1,655 "," $ 81,095 "," $ 79,440 "," $ 1,655 ","6/1/2014","6","June","2014"
"Channel Partners","Canada","Paseo","Low","1295"," $ 10 "," $ 12 "," $ 15,540 "," $ 311 "," $ 15,229 "," $ 3,885 "," $ 11,344 ","10/1/2014","10","October","2014"
"Enterprise","Germany","Paseo","Low","809"," $ 10 "," $ 125 "," $ 101,125 "," $ 2,023 "," $ 99,103 "," $ 97,080 "," $ 2,023 ","10/1/2013","10","October","2013"
"Enterprise","Mexico","Paseo","Low","2145"," $ 10 "," $ 125 "," $ 268,125 "," $ 5,363 "," $ 262,763 "," $ 257,400 "," $ 5,363 ","10/1/2013","10","October","2013"
"Channel Partners","France","Paseo","Low","1785"," $ 10 "," $ 12 "," $ 21,420 "," $ 428 "," $ 20,992 "," $ 5,355 "," $ 15,637 ","11/1/2013","11","November","2013"
"Small Business","Canada","Paseo","Low","1916"," $ 10 "," $ 300 "," $ 574,800 "," $ 11,496 "," $ 563,304 "," $ 479,000 "," $ 84,304 ","12/1/2014","12","December","2014"
"Government","Canada","Paseo","Low","2852"," $ 10 "," $ 350 "," $ 998,200 "," $ 19,964 "," $ 978,236 "," $ 741,520 "," $ 236,716 ","12/1/2014","12","December","2014"
"Enterprise","Canada","Paseo","Low","2729"," $ 10 "," $ 125 "," $ 341,125 "," $ 6,823 "," $ 334,303 "," $ 327,480 "," $ 6,823 ","12/1/2014","12","December","2014"
"Midmarket","United States of America","Paseo","Low","1925"," $ 10 "," $ 15 "," $ 28,875 "," $ 578 "," $ 28,298 "," $ 19,250 "," $ 9,048 ","12/1/2013","12","December","2013"
"Government","United States of America","Paseo","Low","2013"," $ 10 "," $ 7 "," $ 14,091 "," $ 282 "," $ 13,809 "," $ 10,065 "," $ 3,744 ","12/1/2013","12","December","2013"
"Channel Partners","France","Paseo","Low","1055"," $ 10 "," $ 12 "," $ 12,660 "," $ 253 "," $ 12,407 "," $ 3,165 "," $ 9,242 ","12/1/2014","12","December","2014"
"Channel Partners","Mexico","Paseo","Low","1084"," $ 10 "," $ 12 "," $ 13,008 "," $ 260 "," $ 12,748 "," $ 3,252 "," $ 9,496 ","12/1/2014","12","December","2014"
"Government","United States of America","Velo","Low","1566"," $ 120 "," $ 20 "," $ 31,320 "," $ 626 "," $ 30,694 "," $ 15,660 "," $ 15,034 ","10/1/2014","10","October","2014"
"Government","Germany","Velo","Low","2966"," $ 120 "," $ 350 "," $ 1,038,100 "," $ 20,762 "," $ 1,017,338 "," $ 771,160 "," $ 246,178 ","10/1/2013","10","October","2013"
"Government","Germany","Velo","Low","2877"," $ 120 "," $ 350 "," $ 1,006,950 "," $ 20,139 "," $ 986,811 "," $ 748,020 "," $ 238,791 ","10/1/2014","10","October","2014"
"Enterprise","Germany","Velo","Low","809"," $ 120 "," $ 125 "," $ 101,125 "," $ 2,023 "," $ 99,103 "," $ 97,080 "," $ 2,023 ","10/1/2013","10","October","2013"
"Enterprise","Mexico","Velo","Low","2145"," $ 120 "," $ 125 "," $ 268,125 "," $ 5,363 "," $ 262,763 "," $ 257,400 "," $ 5,363 ","10/1/2013","10","October","2013"
"Channel Partners","France","Velo","Low","1055"," $ 120 "," $ 12 "," $ 12,660 "," $ 253 "," $ 12,407 "," $ 3,165 "," $ 9,242 ","12/1/2014","12","December","2014"
"Government","Mexico","Velo","Low","544"," $ 120 "," $ 20 "," $ 10,880 "," $ 218 "," $ 10,662 "," $ 5,440 "," $ 5,222 ","12/1/2013","12","December","2013"
"Channel Partners","Mexico","Velo","Low","1084"," $ 120 "," $ 12 "," $ 13,008 "," $ 260 "," $ 12,748 "," $ 3,252 "," $ 9,496 ","12/1/2014","12","December","2014"
"Enterprise","Mexico","VTT","Low","662"," $ 250 "," $ 125 "," $ 82,750 "," $ 1,655 "," $ 81,095 "," $ 79,440 "," $ 1,655 ","6/1/2014","6","June","2014"
"Small Business","Germany","VTT","Low","214"," $ 250 "," $ 300 "," $ 64,200 "," $ 1,284 "," $ 62,916 "," $ 53,500 "," $ 9,416 ","10/1/2013","10","October","2013"
"Government","Germany","VTT","Low","2877"," $ 250 "," $ 350 "," $ 1,006,950 "," $ 20,139 "," $ 986,811 "," $ 748,020 "," $ 238,791 ","10/1/2014","10","October","2014"
"Enterprise","Canada","VTT","Low","2729"," $ 250 "," $ 125 "," $ 341,125 "," $ 6,823 "," $ 334,303 "," $ 327,480 "," $ 6,823 ","12/1/2014","12","December","2014"
"Government","United States of America","VTT","Low","266"," $ 250 "," $ 350 "," $ 93,100 "," $ 1,862 "," $ 91,238 "," $ 69,160 "," $ 22,078 ","12/1/2013","12","December","2013"
"Government","Mexico","VTT","Low","1940"," $ 250 "," $ 350 "," $ 679,000 "," $ 13,580 "," $ 665,420 "," $ 504,400 "," $ 161,020 ","12/1/2013","12","December","2013"
"Small Business","Germany","Amarilla","Low","259"," $ 260 "," $ 300 "," $ 77,700 "," $ 1,554 "," $ 76,146 "," $ 64,750 "," $ 11,396 ","3/1/2014","3","March","2014"
"Small Business","Mexico","Amarilla","Low","1101"," $ 260 "," $ 300 "," $ 330,300 "," $ 6,606 "," $ 323,694 "," $ 275,250 "," $ 48,444 ","3/1/2014","3","March","2014"
"Enterprise","Germany","Amarilla","Low","2276"," $ 260 "," $ 125 "," $ 284,500 "," $ 5,690 "," $ 278,810 "," $ 273,120 "," $ 5,690 ","5/1/2014","5","May","2014"
"Government","Germany","Amarilla","Low","2966"," $ 260 "," $ 350 "," $ 1,038,100 "," $ 20,762 "," $ 1,017,338 "," $ 771,160 "," $ 246,178 ","10/1/2013","10","October","2013"
"Government","United States of America","Amarilla","Low","1236"," $ 260 "," $ 20 "," $ 24,720 "," $ 494 "," $ 24,226 "," $ 12,360 "," $ 11,866 ","11/1/2014","11","November","2014"
"Government","France","Amarilla","Low","941"," $ 260 "," $ 20 "," $ 18,820 "," $ 376 "," $ 18,444 "," $ 9,410 "," $ 9,034 ","11/1/2014","11","November","2014"
"Small Business","Canada","Amarilla","Low","1916"," $ 260 "," $ 300 "," $ 574,800 "," $ 11,496 "," $ 563,304 "," $ 479,000 "," $ 84,304 ","12/1/2014","12","December","2014"
"Enterprise","France","Carretera","Low","4244"," $ 3 "," $ 125 "," $ 530,438 "," $ 15,913 "," $ 514,524 "," $ 509,220 "," $ 5,304 ","4/1/2014","4","April","2014"
"Government","Germany","Carretera","Low","2580"," $ 3 "," $ 20 "," $ 51,600 "," $ 1,548 "," $ 50,052 "," $ 25,800 "," $ 24,252 ","4/1/2014","4","April","2014"
"Small Business","Germany","Carretera","Low","689"," $ 3 "," $ 300 "," $ 206,700 "," $ 6,201 "," $ 200,499 "," $ 172,250 "," $ 28,249 ","6/1/2014","6","June","2014"
"Channel Partners","United States of America","Carretera","Low","1947"," $ 3 "," $ 12 "," $ 23,364 "," $ 701 "," $ 22,663 "," $ 5,841 "," $ 16,822 ","9/1/2014","9","September","2014"
"Channel Partners","Canada","Carretera","Low","908"," $ 3 "," $ 12 "," $ 10,896 "," $ 327 "," $ 10,569 "," $ 2,724 "," $ 7,845 ","12/1/2013","12","December","2013"
"Government","Germany","Montana","Low","1958"," $ 5 "," $ 7 "," $ 13,706 "," $ 411 "," $ 13,295 "," $ 9,790 "," $ 3,505 ","2/1/2014","2","February","2014"
